日期,週次,學員姓名,班別,學習時數,練習題數,作業分數,投遞履歷數,面試邀約數,求職目標,期待薪資,通勤分鐘,飲料類別,飲料名稱,飲料杯數,城市,心情狀態
2026-07-06,6,小安,Python資料分析班,4.0,15,88,4,2,資料助理,35500,30,茶類,無糖綠茶,2,臺南市,有精神
2026-07-07,6,小婷,Python資料分析班,5.0,18,94,5,3,行政資料助理,34500,25,咖啡,拿鐵,1,高雄市,有成就感
2026-07-08,6,阿哲,網頁前端班,4.0,15,87,3,1,前端助理,36500,39,果茶,檸檬紅茶,2,臺南市,普通
2026-07-09,6,小宇,Python資料分析班,5.5,20,99,5,3,資料助理,37500,34,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-07-10,6,怡君,電商行銷班,4.5,16,91,4,2,電商助理,33500,27,茶類,四季春,1,臺南市,有成就感
2026-07-11,6,冠廷,網頁前端班,5.0,18,93,4,2,切版助理,36000,48,咖啡,美式咖啡,2,屏東縣,有精神
2026-07-12,6,雅雯,Python資料分析班,6.0,22,100,6,4,資料助理,38500,20,奶茶,鮮奶茶,2,臺南市,有成就感
2026-07-13,7,小安,Python資料分析班,4.5,16,90,5,2,資料助理,36000,30,茶類,無糖綠茶,2,臺南市,有成就感
2026-07-14,7,小婷,Python資料分析班,5.5,20,96,5,3,行政資料助理,35000,24,咖啡,拿鐵,1,高雄市,有成就感
2026-07-15,7,阿哲,網頁前端班,4.5,17,90,4,2,前端助理,37000,38,果茶,百香綠,2,臺南市,有精神
2026-07-16,7,小宇,Python資料分析班,6.0,22,100,6,4,資料助理,38000,33,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-07-17,7,怡君,電商行銷班,5.0,18,94,5,3,電商助理,34000,26,茶類,四季春,1,臺南市,有成就感
2026-07-18,7,冠廷,網頁前端班,5.5,20,96,4,2,切版助理,36500,47,咖啡,美式咖啡,2,屏東縣,有成就感
2026-07-19,7,雅雯,Python資料分析班,6.5,24,100,6,4,資料助理,39000,20,奶茶,鮮奶茶,2,臺南市,有成就感
2026-07-20,8,小安,Python資料分析班,5.0,18,92,5,3,資料助理,36500,29,茶類,無糖綠茶,2,臺南市,有成就感
2026-07-21,8,小婷,Python資料分析班,6.0,22,98,6,4,行政資料助理,35500,24,咖啡,拿鐵,1,高雄市,有成就感
2026-07-22,8,阿哲,網頁前端班,5.0,19,92,4,2,前端助理,37500,37,果茶,檸檬紅茶,2,臺南市,有精神
2026-07-23,8,小宇,Python資料分析班,6.5,24,100,6,4,資料助理,38500,32,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-07-24,8,怡君,電商行銷班,5.5,20,96,5,3,電商助理,34500,25,茶類,四季春,1,臺南市,有精神
2026-07-25,8,冠廷,網頁前端班,6.0,22,98,5,3,切版助理,37000,46,咖啡,美式咖啡,2,屏東縣,有成就感
2026-07-26,8,雅雯,Python資料分析班,7.0,26,100,7,5,資料助理,39500,19,奶茶,鮮奶茶,2,臺南市,有成就感
2026-07-27,9,小安,Python資料分析班,5.5,20,94,6,3,資料助理,37000,28,茶類,無糖綠茶,2,臺南市,有成就感
2026-07-28,9,小婷,Python資料分析班,6.5,24,100,6,4,行政資料助理,36000,23,咖啡,拿鐵,1,高雄市,有成就感
2026-07-29,9,阿哲,網頁前端班,5.5,21,94,5,3,前端助理,38000,36,果茶,百香綠,2,臺南市,有成就感
2026-07-30,9,小宇,Python資料分析班,7.0,26,100,7,5,資料助理,39000,31,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-07-31,9,怡君,電商行銷班,6.0,22,98,6,4,電商助理,35000,24,茶類,四季春,1,臺南市,有成就感
2026-08-01,9,冠廷,網頁前端班,6.5,24,100,5,3,切版助理,37500,45,咖啡,美式咖啡,2,屏東縣,有精神
2026-08-02,9,雅雯,Python資料分析班,7.5,28,100,7,5,資料助理,40000,18,奶茶,鮮奶茶,2,臺南市,有成就感
2026-08-03,10,小安,Python資料分析班,6.0,22,96,6,4,資料助理,37500,28,茶類,無糖綠茶,2,臺南市,有成就感
2026-08-04,10,小婷,Python資料分析班,7.0,26,100,7,5,行政資料助理,36500,22,咖啡,拿鐵,1,高雄市,有成就感
2026-08-05,10,阿哲,網頁前端班,6.0,23,96,5,3,前端助理,38500,35,果茶,檸檬紅茶,2,臺南市,有成就感
2026-08-06,10,小宇,Python資料分析班,7.5,28,100,8,6,資料助理,39500,30,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-08-07,10,怡君,電商行銷班,6.5,24,100,6,4,電商助理,35500,23,茶類,四季春,1,臺南市,有成就感
2026-08-08,10,冠廷,網頁前端班,7.0,26,100,6,4,切版助理,38000,44,咖啡,美式咖啡,2,屏東縣,有成就感
2026-08-09,10,雅雯,Python資料分析班,8.0,30,100,8,6,資料助理,40500,18,奶茶,鮮奶茶,2,臺南市,有成就感
